City,Airport,Latitude,Longitude,,,,,
London,LHR,51.4775,-0.4614,,,,,
Cairo,CIR,30.1219,31.4056,,,,,
Dubai,DXB,25.2528,55.3644,,,,,
Paris,CDG,49.0097,2.5478,,,,,
Delhi,DEL,28.5686,77.1122,,,,,
Dallas,DFW,32.8969,-97.0381,,,,,
San Francisco,SFO,37.6189,122.3750,,,,,
Harare,HRE,-17.9318,31.0928,,,,,
Johannesburg,JNB,-26.1392,28.2461,,,,,
Dammam,KFIA,26.4711,49.7978,,,,,
Manila,MNL,14.5086,121.0194,,,,,
Mauritius,MRU,-20.4300,57.6830,,,,,
Beijing,PEK,40.0800,116.5844,,,,,
Toronto,YYZ,43.6767,-79.6306,,,,,
Bangalore,BLR,13.2069,77.042,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,